Comment,Hatespeech
Apsišiko ukrų naciai,Yes
Hoholu propaganda nieko nesiskiria nuo kremlyno,Yes
Jus geriau parasykit kiek per visa laika haholu paguldyta 😃,Yes
Banderovcui čainikas nulėkė po sprogimo.,Yes
Durneliai tai provokacija taip gali tik ukrų naciai,Yes
Ir tegu nesako kad Ukrainos samdomi žudikai glosto ir šokoladais vaišina rusus,Yes
"Jankiam tai patinka,jie ziuri kaip filma😀😀mes senais laikais ziurejom amerikietiskus filmus,dabar jankiai ziures rusiskus bet realius😀😀😀",Yes
O as siuliciau ruskiam kareivukam paimt i nelaisve istept medumi ir ant skruzdelino poto pautus nukirpt ir tada i duobe imest lai prisimena ka prievartavo dar jiai suniuka pitbuli imetus visai butu ferverkai butu ilga mirtis!!!!,Yes
Kur sankcijos zydu siukslems?,Yes
kodel zydai terroristic zudo palestinieciu vaikus ir moteris?,Yes
"nepatinka tie rusai, bet akivaizdu kad tarp ukrainos irgi yra visisku hoholyno i*gamu.",Yes
O kaip Ukrainoje kencia zmones ar ruskiai pergyvena svolaciai,Yes
Supisti chacholai,Yes
Kokokolkiu parduotuve bus dirbs oficialiai,Yes
Maskoliai nepatenkinti komentaruose..,Yes
Pohui ta xaxolu krautuve,Yes
Ar žydui kada gana turto? 🙂,Yes
Kada tie žydai priris jiems mažai ir mažai ir visas pasaulis jiems skolingas,Yes
Reik vel hitlerio nieko nebus kuo toliau tuo graziau 😂😂,Yes
patys tapom jankiu vergais,Yes
"va būtent dėl tokių chamu lietuvių ir norisi pakeist pavardę, nes gėda. Nuojauta kužda, jei pasiknysti Jūsų šeimos istoririje tai busite toks pats šudlietuvis.",Yes
"Amerikonai tik pjudyt moka, ir jie labiausia nori sito. Karoooo!!!",Yes
Amerikonais tiketi negalima kai nustos kirsinti ir Putinas pasitrauks man taip atrodo,Yes
Nebent provokatoriai amerikiečių( o jų daug lt kariniam placdarme),Yes
"Virgilijus Mockus amerikai karo dėka reike savo ekonomika gaivint nes ji žlunga, nusikalteliu tauta visada iš karu gyveno ir gyvens.",Yes
Tikri Lietuviai myzalo putos mazai piso rŕrusai muziku taura geras rusas kuris kapais atsiduoda,Yes
Nu amerikonai kokie bailiai,Yes
"Jeigu ieškosi prie ko prikibti, visada rasi 🙃 bet šiaip tai jokio rasizmo čia nebuvo, jei patys juodaodžiai save mato kaip beždžiones, tada gal ir gali įsižeisti 🤨",Yes
Negras dar gi,Yes
"Oi štatai jau tokie sensitive pasidarė , kad pyzdec , Niger bang bang",Yes
"Palyginimas adekvatus. Tikrai ne kaip katinelis pamurke palei Sabonio ausi. O kad jautriai kazkas i bezdziones reaguoja, tai ju problemos. Nereikia sokineti kaip bezdzionei tai ir nekils asociacijos su bezdzionemis",Yes
Amerikonai prie visko prisedada ale gereciai bet visur pridirba reikalu,Yes
